Y-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 170.0	 479.0	 517.0	 423.0	 328.0	 243.0	 425.0	
0.7	 180.4	 508.4	 537.4	 451.4	 377.4	 275.4	 457.4	
1.4	 224.7	 544.7	 582.7	 485.7	 411.7	 322.7	 490.7	
2.1	 236.1	 562.1	 589.1	 514.1	 423.1	 329.1	 504.1	
2.9	 255.4	 576.4	 611.4	 520.4	 446.4	 363.4	 516.4	
3.6	 272.8	 587.8	 623.8	 542.8	 453.8	 369.8	 518.8	
4.3	 283.1	 609.1	 631.1	 554.1	 460.1	 377.1	 529.1	
5.0	 292.5	 617.5	 651.5	 561.5	 466.5	 380.5	 553.5	
5.7	 289.8	 614.8	 640.8	 564.8	 470.8	 387.8	 540.8	
6.4	 285.2	 606.2	 638.2	 563.2	 473.2	 389.2	 538.2	
7.2	 265.5	 588.5	 619.5	 530.5	 456.5	 367.5	 530.5	
7.9	 257.9	 570.9	 599.9	 506.9	 432.9	 332.9	 512.9	
8.6	 232.3	 557.3	 588.3	 496.3	 411.3	 332.3	 505.3	
9.3	 213.6	 526.6	 572.6	 479.6	 391.6	 290.6	 480.6	
10.0	 179.0	 498.0	 529.0	 449.0	 356.0	 269.0	 461.0	
10.7	 172.3	 479.3	 513.3	 416.3	 328.3	 240.3	 425.3	
