X-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 242.0	 561.0	 598.0	 509.0	 427.0	 340.0	 495.0	
0.4	 251.1	 565.1	 596.1	 515.1	 429.1	 341.1	 498.1	
0.8	 256.2	 571.2	 603.2	 522.2	 431.2	 346.2	 499.2	
1.3	 256.3	 577.3	 612.3	 531.3	 434.3	 350.3	 503.3	
1.7	 263.4	 583.4	 621.4	 532.4	 440.4	 352.4	 524.4	
2.1	 272.5	 594.5	 627.5	 536.5	 456.5	 354.5	 527.5	
2.5	 267.6	 598.6	 628.6	 535.6	 448.6	 357.6	 529.6	
2.9	 260.7	 596.7	 617.7	 538.7	 460.7	 355.7	 530.7	
3.4	 263.8	 588.8	 614.8	 538.8	 444.8	 361.8	 514.8	
3.8	 262.9	 584.9	 621.9	 535.9	 451.9	 356.9	 511.9	
4.2	 258.0	 580.0	 611.0	 524.0	 446.0	 362.0	 512.0	
4.6	 261.1	 580.1	 611.1	 520.1	 446.1	 364.1	 514.1	
5.0	 262.2	 566.2	 608.2	 519.2	 432.2	 341.2	 513.2	
5.5	 242.3	 562.3	 595.3	 504.3	 428.3	 342.3	 502.3	
5.9	 242.4	 560.4	 596.4	 504.4	 426.4	 325.4	 494.4	
6.3	 233.5	 560.5	 593.5	 508.5	 428.5	 345.5	 504.5	
