Y-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 225.0	 429.0	 550.0	 604.0	 628.0	 640.0	 577.0	
0.3	 234.3	 436.3	 554.3	 603.3	 624.3	 641.3	 576.3	
0.6	 240.6	 436.6	 552.6	 603.6	 623.6	 635.6	 572.6	
0.9	 245.9	 440.9	 551.9	 598.9	 619.9	 634.9	 569.9	
1.1	 248.1	 439.1	 548.1	 599.1	 616.1	 627.1	 565.1	
1.4	 247.4	 436.4	 548.4	 596.4	 612.4	 626.4	 560.4	
1.7	 249.7	 439.7	 550.7	 593.7	 608.7	 623.7	 559.7	
2.0	 254.0	 439.0	 550.0	 592.0	 612.0	 624.0	 557.0	
2.3	 253.3	 438.3	 554.3	 594.3	 611.3	 623.3	 557.3	
2.6	 251.6	 435.6	 550.6	 593.6	 617.6	 623.6	 556.6	
2.9	 253.8	 439.8	 554.8	 592.8	 615.8	 628.8	 557.8	
3.2	 253.1	 442.1	 554.1	 601.1	 618.1	 630.1	 563.1	
3.4	 249.4	 443.4	 555.4	 600.4	 623.4	 637.4	 566.4	
3.7	 246.7	 442.7	 560.7	 607.7	 628.7	 639.7	 569.7	
4.0	 243.0	 442.0	 564.0	 612.0	 634.0	 648.0	 579.0	
4.3	 240.3	 443.3	 565.3	 611.3	 634.3	 648.3	 581.3	
