X-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 285.0	 478.0	 587.0	 632.0	 651.0	 664.0	 596.0	
0.2	 287.7	 471.7	 584.7	 626.7	 646.7	 658.7	 593.7	
0.3	 283.5	 470.5	 584.5	 623.5	 644.5	 655.5	 589.5	
0.5	 280.2	 468.2	 584.2	 623.2	 645.2	 654.2	 589.2	
0.7	 281.0	 469.0	 578.0	 623.0	 639.0	 652.0	 586.0	
0.8	 281.7	 466.7	 576.7	 624.7	 641.7	 653.7	 585.7	
1.0	 279.4	 465.4	 578.4	 624.4	 641.4	 654.4	 586.4	
1.2	 283.2	 468.2	 579.2	 624.2	 638.2	 653.2	 584.2	
1.3	 280.9	 465.9	 581.9	 621.9	 638.9	 650.9	 584.9	
1.5	 279.7	 463.7	 578.7	 622.7	 640.7	 651.7	 584.7	
1.7	 280.4	 465.4	 579.4	 622.4	 640.4	 652.4	 586.4	
1.8	 282.2	 467.2	 578.2	 620.2	 641.2	 655.2	 588.2	
2.0	 282.9	 468.9	 579.9	 626.9	 642.9	 656.9	 588.9	
2.2	 282.6	 471.6	 586.6	 625.6	 645.6	 656.6	 591.6	
2.4	 281.4	 469.4	 585.4	 626.4	 646.4	 658.4	 594.4	
2.5	 285.1	 471.1	 582.1	 630.1	 650.1	 658.1	 593.1	
