Y-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 427.0	 370.0	 319.0	 293.0	 280.0	 272.0	 314.0	
0.4	 431.2	 372.2	 324.2	 299.2	 284.2	 278.2	 319.2	
0.9	 434.4	 375.4	 328.4	 301.4	 287.4	 279.4	 322.4	
1.3	 435.6	 377.6	 331.6	 305.6	 291.6	 282.6	 325.6	
1.8	 436.8	 380.8	 331.8	 308.8	 293.8	 283.8	 327.8	
2.2	 438.0	 384.0	 339.0	 312.0	 297.0	 287.0	 329.0	
2.7	 439.2	 387.2	 339.2	 313.2	 299.2	 289.2	 331.2	
3.1	 440.4	 388.4	 342.4	 316.4	 301.4	 291.4	 330.4	
3.5	 440.6	 389.6	 346.6	 316.6	 301.6	 291.6	 331.6	
4.0	 439.8	 389.8	 343.8	 316.8	 301.8	 291.8	 330.8	
4.4	 440.0	 389.0	 343.0	 316.0	 301.0	 291.0	 330.0	
4.9	 438.2	 387.2	 341.2	 315.2	 300.2	 290.2	 327.2	
5.3	 436.4	 386.4	 339.4	 314.4	 298.4	 289.4	 324.4	
5.8	 433.6	 382.6	 337.6	 311.6	 296.6	 287.6	 322.6	
6.2	 429.8	 378.8	 337.8	 308.8	 294.8	 286.8	 318.8	
6.7	 425.0	 375.0	 329.0	 309.0	 292.0	 283.0	 315.0	
