X-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 442.0	 389.0	 342.0	 316.0	 303.0	 294.0	 334.0	
0.4	 440.8	 389.8	 342.8	 314.8	 302.8	 293.8	 338.8	
0.9	 440.5	 388.5	 341.5	 314.5	 300.5	 291.5	 331.5	
1.3	 440.3	 388.3	 341.3	 314.3	 300.3	 290.3	 336.3	
1.8	 438.1	 387.1	 341.1	 314.1	 300.1	 289.1	 329.1	
2.2	 437.9	 386.9	 339.9	 313.9	 297.9	 288.9	 333.9	
2.7	 437.6	 385.6	 339.6	 313.6	 297.6	 287.6	 326.6	
3.1	 438.4	 385.4	 341.4	 312.4	 298.4	 288.4	 330.4	
3.5	 437.2	 386.2	 343.2	 313.2	 298.2	 288.2	 328.2	
4.0	 437.0	 387.0	 341.0	 312.0	 299.0	 289.0	 335.0	
4.4	 438.7	 387.7	 341.7	 312.7	 298.7	 289.7	 327.7	
4.9	 439.5	 388.5	 342.5	 315.5	 300.5	 291.5	 333.5	
5.3	 441.3	 389.3	 342.3	 315.3	 301.3	 292.3	 332.3	
5.8	 443.1	 390.1	 343.1	 320.1	 304.1	 294.1	 335.1	
6.2	 443.8	 390.8	 343.8	 320.8	 305.8	 295.8	 333.8	
6.7	 446.6	 393.6	 346.6	 322.6	 308.6	 298.6	 336.6	
