Y-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 365.0	 393.0	 439.0	 457.0	 515.0	 534.0	 512.0	
0.4	 386.0	 401.0	 444.0	 489.0	 515.0	 534.0	 519.0	
0.9	 285.0	 348.0	 428.0	 467.0	 501.0	 517.0	 493.0	
1.3	 297.0	 337.0	 404.0	 442.0	 471.0	 485.0	 453.0	
1.8	 317.0	 353.0	 407.0	 447.0	 471.0	 491.0	 438.0	
2.2	 338.0	 362.0	 424.0	 458.0	 484.0	 499.0	 443.0	
2.7	 346.0	 378.0	 432.0	 467.0	 494.0	 510.0	 446.0	
3.1	 354.0	 387.0	 433.0	 470.0	 494.0	 510.0	 450.0	
3.5	 353.0	 378.0	 430.0	 469.0	 489.0	 506.0	 454.0	
4.0	 337.0	 367.0	 421.0	 456.0	 481.0	 500.0	 454.0	
4.4	 339.0	 362.0	 416.0	 453.0	 478.0	 496.0	 464.0	
4.9	 321.0	 346.0	 401.0	 439.0	 464.0	 481.0	 466.0	
5.3	 290.0	 328.0	 377.0	 422.0	 443.0	 460.0	 468.0	
5.8	 264.0	 311.0	 363.0	 402.0	 432.0	 460.0	 489.0	
6.2	 228.0	 275.0	 369.0	 468.0	 488.0	 495.0	 503.0	
6.7	 188.0	 362.0	 413.0	 453.0	 471.0	 492.0	 498.0	
