X-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 282.0	 321.0	 375.0	 415.0	 442.0	 458.0	 415.0	
0.4	 284.7	 322.7	 376.7	 414.7	 439.7	 460.7	 371.7	
0.9	 300.5	 324.5	 384.5	 417.5	 444.5	 462.5	 416.5	
1.3	 302.2	 339.2	 389.2	 428.2	 448.2	 465.2	 407.2	
1.8	 318.9	 341.9	 391.9	 430.9	 450.9	 470.9	 403.9	
2.2	 319.6	 341.6	 393.6	 434.6	 453.6	 470.6	 414.6	
2.7	 319.4	 342.4	 395.4	 431.4	 453.4	 473.4	 409.4	
3.1	 319.1	 344.1	 396.1	 431.1	 453.1	 471.1	 401.1	
3.5	 318.8	 343.8	 395.8	 434.8	 454.8	 471.8	 419.8	
4.0	 317.5	 345.5	 396.5	 431.5	 453.5	 474.5	 409.5	
4.4	 320.3	 349.3	 398.3	 431.3	 455.3	 475.3	 415.3	
4.9	 318.0	 340.0	 391.0	 430.0	 451.0	 469.0	 409.0	
5.3	 317.7	 339.7	 390.7	 428.7	 452.7	 471.7	 404.7	
5.8	 315.4	 339.4	 391.4	 429.4	 448.4	 467.4	 403.4	
6.2	 300.2	 335.2	 388.2	 426.2	 446.2	 464.2	 403.2	
6.7	 296.9	 321.9	 381.9	 413.9	 442.9	 462.9	 394.9	
