Y-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 274.0	 426.0	 538.0	 611.0	 637.0	 657.0	 609.0	
0.2	 266.4	 422.4	 534.4	 609.4	 635.4	 656.4	 598.4	
0.4	 260.8	 421.8	 532.8	 596.8	 634.8	 655.8	 596.8	
0.5	 259.2	 420.2	 533.2	 596.2	 634.2	 652.2	 596.2	
0.7	 256.6	 418.6	 532.6	 595.6	 633.6	 653.6	 596.6	
0.9	 244.0	 408.0	 531.0	 595.0	 633.0	 653.0	 596.0	
1.1	 243.4	 406.4	 528.4	 595.4	 630.4	 653.4	 596.4	
1.2	 242.9	 405.9	 522.9	 594.9	 622.9	 645.9	 595.9	
1.4	 244.3	 406.3	 522.3	 593.3	 621.3	 641.3	 596.3	
1.6	 244.7	 407.7	 522.7	 594.7	 620.7	 641.7	 596.7	
1.8	 248.1	 409.1	 525.1	 596.1	 623.1	 644.1	 596.1	
2.0	 261.5	 421.5	 534.5	 596.5	 625.5	 643.5	 597.5	
2.1	 263.9	 423.9	 535.9	 598.9	 632.9	 645.9	 598.9	
2.3	 268.3	 427.3	 537.3	 600.3	 635.3	 654.3	 599.3	
2.5	 284.7	 428.7	 539.7	 602.7	 637.7	 658.7	 600.7	
2.7	 287.1	 436.1	 543.1	 606.1	 640.1	 659.1	 603.1	
