X-position	420/20	470/30	535/22	595/31	630/69	697/75	ND filter	
0.0	 261.0	 423.0	 535.0	 595.0	 636.0	 655.0	 595.0	
0.2	 259.7	 404.7	 533.7	 594.7	 634.7	 654.7	 594.7	
0.4	 243.4	 404.4	 533.4	 594.4	 634.4	 638.4	 594.4	
0.5	 241.1	 402.1	 530.1	 592.1	 615.1	 636.1	 593.1	
0.7	 241.9	 402.9	 515.9	 592.9	 616.9	 636.9	 592.9	
0.9	 240.6	 402.6	 516.6	 590.6	 617.6	 636.6	 592.6	
1.1	 237.3	 400.3	 513.3	 588.3	 613.3	 635.3	 590.3	
1.2	 240.0	 401.0	 514.0	 589.0	 617.0	 638.0	 591.0	
1.4	 238.7	 400.7	 516.7	 587.7	 615.7	 635.7	 590.7	
1.6	 237.4	 399.4	 525.4	 587.4	 614.4	 634.4	 588.4	
1.8	 242.1	 402.1	 526.1	 588.1	 621.1	 642.1	 590.1	
2.0	 240.8	 403.8	 527.8	 588.8	 623.8	 643.8	 589.8	
2.1	 252.6	 414.6	 527.6	 590.6	 626.6	 647.6	 589.6	
2.3	 253.3	 415.3	 528.3	 593.3	 627.3	 649.3	 592.3	
2.5	 252.0	 416.0	 528.0	 591.0	 627.0	 647.0	 592.0	
2.7	 256.7	 416.7	 528.7	 595.7	 629.7	 649.7	 603.7	
